city,title,language,time,money
Київ,Junior,Python,"0,5р",800
Київ,Junior,TypeScript,1р,800
Київ,Junior,Swift,5р,800
Харків,Junior,JavaScript,"0,5р",800
Київ,Junior,C# / .NET,"1,5р",800
Вінниця,Junior,Python,1р,800
Київ,Junior,C# / .NET,"0,5р",800
Київ,Intern/Trainee,PHP,"0,25р",800
Київ,Intern/Trainee,Kotlin,1р,800
Дніпро,Junior,Java,1р,800
Київ,Junior,TypeScript,"0,25р",800
Ужгород,Junior,PHP,"0,5р",800
Дніпро,Junior,Java,"0,5р",800
Київ,Junior,JavaScript,"1,5р",800
Київ,Junior,JavaScript,1р,800
Київ,Junior,Java,"1,5р",800
Харків,Junior,TypeScript,1р,800
Київ,Junior,C# / .NET,"0,5р",800
Хмельницький,Junior,C# / .NET,2р,800
Харків,Junior,Go,"0,5р",800
Київ,Junior,JavaScript,"0,5р",800
Одеса,Junior,JavaScript,"0,5р",800
Харків,Junior,Kotlin,2р,800
Одеса,Junior,TypeScript,"0,5р",800
Миколаїв,Junior,PHP,6р,800
Київ,Junior,Java,"0,5р",800
Чернівці,Junior,JavaScript,1р,800
Одеса,Junior,JavaScript,"0,5р",800
Київ,Junior,C# / .NET,"0,5р",800
Дніпро,Junior,JavaScript,1р,800
Інше,Junior,Dart,3р,800
Інше,Junior,Kotlin,1р,800
Одеса,Junior,Java,"0,5р",800
Київ,Junior,JavaScript,"0,5р",800
Запоріжжя,Middle,C# / .NET,3р,800
Київ,Junior,PHP,4р,800
Київ,Junior,Python,"0,5р",800
Київ,Junior,JavaScript,"0,5р",800
Запоріжжя,Junior,JavaScript,"0,5р",800
Запоріжжя,Middle,PHP,2р,800
Запоріжжя,Junior,JavaScript,"0,5р",800
Одеса,Intern/Trainee,JavaScript,"0,25р",800
Київ,Junior,TypeScript,"0,25р",800
Львів,Intern/Trainee,C++,"0,25р",800
Інше,Senior,Go,10р,800
Київ,Intern/Trainee,C,"0,5р",800
Львів,Junior,TypeScript,"1,5р",800
Київ,Junior,Java,"0,25р",800
Київ,Junior,Java,"0,5р",800
Київ,Junior,Salesforce Apex,"0,5р",800
Одеса,Junior,JavaScript,"0,5р",800
Інше,Junior,C# / .NET,"1,5р",800
Київ,Junior,JavaScript,1р,800
Київ,Junior,JavaScript,"0,5р",800
Київ,Junior,JavaScript,"1,5р",800
Дніпро,Junior,Go,2р,800
Дніпро,Junior,C# / .NET,"0,25р",800
Київ,Junior,JavaScript,"1,5р",800
Київ,Junior,C# / .NET,"0,25р",800
Одеса,Junior,Swift,1р,800
Київ,Junior,JavaScript,"0,25р",800
Київ,Intern/Trainee,C# / .NET,"0,5р",800
Київ,Junior,C++,1р,800
Київ,Architect,JavaScript,10р,800
Київ,Junior,Python,"0,5р",800
Київ,Team Lead,C# / .NET,10р,7900
